msj_ort;TAG;msj_stemm;msj_noplural;msj_noemoji;msj_emoji
con lluvia dieron ganas cucharear    \U0001f60f ;1;con lluvi dieron gan cuchar \u0001f60f;con lluvia dieron gana cucharear \u0001f60f;con lluvia dieron ganas cucharear  ;          \U0001f60f
y largo lluvia  \u2614 \U0001f495 ;1;y larg lluvi \u2614 \u0001f495;y largo lluvia \u2614 \u0001f495;y largo lluvia    ;      \u2614 \U0001f495
que hermosa tormenta ;1;que hermos torment;que hermosa tormenta;que hermosa tormenta;     
 dan lluvia  ;0;dan lluvi;dan lluvia;dan lluvia;   
aseguran hay stock suficiente bengalas combatir tormentas  ;0;asegur hay stock suficient bengal combat torment;aseguran hay stock suficiente bengala combatir tormenta;aseguran hay stock suficiente bengalas combatir tormentas;             
aprobe final con    tome cervezas con amigos  estuve con novio  comi milanesa napolitana  bañe con agua hirviendo estoy dormirme sabanas limpias con lluvia fondo gato lado  siento mas realizada  ;1;aprob final con tom cervez con amig estuv con novi comi milanes napolitan bañ con agu hirv estoy dorm saban limpi con lluvi fond gat lad sient mas realiz;aprobe final con tome cerveza con amigo estuve con novio comi milanesa napolitana bañe con agua hirviendo estoy dormirme sabana limpia con lluvia fondo gato lado siento mas realizada;aprobe final con tome cervezas con amigos estuve con novio comi milanesa napolitana bañe con agua hirviendo estoy dormirme sabanas limpias con lluvia fondo gato lado siento mas realizada;                                                         
llueve porque sebastian levanto simpatico \U0001f602 \U0001f602 ;1;lluev porqu sebasti levant simpat \u0001f602 \u0001f602;llueve porque sebastian levanto simpatico \u0001f602 \u0001f602;llueve porque sebastian levanto simpatico    ;          \U0001f602 \U0001f602
 horrible todo  eso llueve asi ;0;horribl tod eso lluev asi;horrible todo eso llueve asi;horrible todo eso llueve asi;         
mi padre dice ahora van tener poner jugar  yo mientras miro si forma tormenta no  \U0001f615 ;0;mi padr dic ahor van ten pon jug yo mientr mir si form torment no \u0001f615;mi padre dice ahora van tener poner jugar yo mientra miro si forma tormenta no \u0001f615;mi padre dice ahora van tener poner jugar yo mientras miro si forma tormenta no  ;                              \U0001f615
buena  pasaba clima  donde salio lluvia  ;1;buen pas clim dond sali lluvi;buena pasaba clima donde salio lluvia;buena pasaba clima donde salio lluvia;           
que onda   llueve  sale sol  llueve  sale sol  tiempo mas loco yo  ;0;que onda lluev sal sol lluev sal sol tiemp mas loc yo;que onda llueve sale sol llueve sale sol tiempo mas loco yo;que onda llueve sale sol llueve sale sol tiempo mas loco yo;                       
lo hermoso dias lluvia ;0;lo hermos dias lluvi;lo hermoso dia lluvia;lo hermoso dias lluvia;       
que vergüenza ver otros humanos bicicleta buscando refugio plena tormenta    poca alma bicicletera ;1;que vergüenz ver otros human biciclet busc refugi plen torment poc alma bicicleter;que vergüenza ver otro humano bicicleta buscando refugio plena tormenta poca alma bicicletera;que vergüenza ver otros humanos bicicleta buscando refugio plena tormenta poca alma bicicletera;                         
mi plan dormirme escuchando temas fasciolo con ruido lluvia fondo haciendo cucharita con gata ;0;mi plan dorm escuch tem fasciol con ruid lluvi fond hac cucharit con gat;mi plan dormirme escuchando tema fasciolo con ruido lluvia fondo haciendo cucharita con gata;mi plan dormirme escuchando temas fasciolo con ruido lluvia fondo haciendo cucharita con gata;                           
como hace mambear lluvia ;1;com hac mamb lluvi;como hace mambear lluvia;como hace mambear lluvia;       
estaria venga tormenta dure hasta mañana  ;0;estari veng torment dur hast mañan;estaria venga tormenta dure hasta mañana;estaria venga tormenta dure hasta mañana;           
 sin dudas usted gobernador querido mejor piloto tormentas     ;0;sin dud usted gobern quer mejor pilot torment;sin duda usted gobernador querido mejor piloto tormenta;sin dudas usted gobernador querido mejor piloto tormentas;               
en santa fe llueve  ;1;en sant fe lluev;en santa fe llueve;en santa fe llueve;       
adivinen quien mojo   gracias tormenta ;1;adivin qui moj graci torment;adivinen quien mojo gracia tormenta;adivinen quien mojo gracias tormenta;         
me gustado video       temporada     acerca tormenta    fortnite  battle royale   ;0;me gust vide tempor acerc torment fortnit battl royal;me gustado video temporada acerca tormenta fortnite battle royale;me gustado video temporada acerca tormenta fortnite battle royale;                 
recien despierto siesta    con lluvia quien no duerme   igual hubiera estado mas piola si dormiamos siesta juntos  ;1;reci despiert siest con lluvi qui no duerm igual hub estad mas piol si dormi siest junt;recien despierto siesta con lluvia quien no duerme igual hubiera estado mas piola si dormiamo siesta junto;recien despierto siesta con lluvia quien no duerme igual hubiera estado mas piola si dormiamos siesta juntos;                                 
sos hermosa \U0001f60d  \u2014 abran paraguas lluvia datos  ;0;sos hermos \u0001f60d \u2014 abran paragu lluvi dat;so hermosa \u0001f60d \u2014 abran paragua lluvia dato;sos hermosa     abran paraguas lluvia datos;    \U0001f60d \u2014        
netflix   lluvia   perfeccion ;1;netflix lluvi perfeccion;netflix lluvia perfeccion;netflix lluvia perfeccion;     
  ;1;;;;
me canso lluvia ;0;me cans lluvi;me canso lluvia;me canso lluvia;     
ojala pusiera mimosa    lluvia pone mas gorda  ;1;ojal pus mimos lluvi pon mas gord;ojala pusiera mimosa lluvia pone mas gorda;ojala pusiera mimosa lluvia pone mas gorda;             
que hermosa lluvia \U0001f495 ;1;que hermos lluvi \u0001f495;que hermosa lluvia \u0001f495;que hermosa lluvia  ;      \U0001f495
vieron cordoba hay gente estudiando tormentas  bueno  creo con hacian tesis ;0;vieron cordob hay gent estudi torment buen cre con haci tesis;vieron cordoba hay gente estudiando tormenta bueno creo con hacian tesi;vieron cordoba hay gente estudiando tormentas bueno creo con hacian tesis;                     
no   pero yo amo dormir con lluvia man ;0;no per yo amo dorm con lluvi man;no pero yo amo dormir con lluvia man;no pero yo amo dormir con lluvia man;               
que lluvia pase largo  quiero salir manga forros ;1;que lluvi pas larg quier sal mang forr;que lluvia pase largo quiero salir manga forro;que lluvia pase largo quiero salir manga forros;               
se levanto tormenta rato otro ;1;se levant torment rat otro;se levanto tormenta rato otro;se levanto tormenta rato otro;         
salir patio escuchar truenos dolby surround      ;1;sal pati escuch truen dolby surround;salir patio escuchar trueno dolby surround;salir patio escuchar truenos dolby surround;           
lea anuncian hasta    \  mas     lluvias entre rios fin año  advierten fenomenos meteorologicos alto impacto proximos dias       empezara lluvioso  mira informe especial provincia region   ;0;lea anunci hast \ mas lluvi entre rios fin año adviert fenomen meteorolog alto impact prox dias empez lluvios mir inform especial provinci region;lea anuncian hasta \ mas lluvia entre rio fin año advierten fenomeno meteorologico alto impacto proximo dia empezara lluvioso mira informe especial provincia region;lea anuncian hasta \ mas lluvias entre rios fin año advierten fenomenos meteorologicos alto impacto proximos dias empezara lluvioso mira informe especial provincia region;                                               
encima lindo andar bajo lluvia  \U0001f60d \U0001f60d \U0001f60d \U0001f60d feo calor departamento  \U0001f62d \U0001f62d \U0001f62d \U0001f62d ;0;encim lind andar baj lluvi \u0001f60d \u0001f60d \u0001f60d \u0001f60d feo calor departament \u0001f62d \u0001f62d \u0001f62d \u0001f62d;encima lindo andar bajo lluvia \u0001f60d \u0001f60d \u0001f60d \u0001f60d feo calor departamento \u0001f62d \u0001f62d \u0001f62d \u0001f62d;encima lindo andar bajo lluvia         feo calor departamento        ;          \U0001f60d \U0001f60d \U0001f60d \U0001f60d       \U0001f62d \U0001f62d \U0001f62d \U0001f62d
uno placeres vida    dormir mientras llueve \U0001f49e ;1;uno placer vid dorm mientr lluev \u0001f49;uno placere vida dormir mientra llueve \u0001f49e;uno placeres vida dormir mientras llueve  ;            \U0001f49e
hay dormir nomas dice lluvia ;1;hay dorm nom dic lluvi;hay dormir noma dice lluvia;hay dormir nomas dice lluvia;         
  video otro tema  porque depende complejidad quiera darle archivo  si solo fotos si videos  mañana paso data porque estoy bajo tormenta lpm corta luz cada rato     ;0;vide otro tem porqu depend complej quier darl archiv si sol fot si vide mañan pas dat porqu estoy baj torment lpm cort luz cad rat;video otro tema porque depende complejidad quiera darle archivo si solo foto si video mañana paso data porque estoy bajo tormenta lpm corta luz cada rato;video otro tema porque depende complejidad quiera darle archivo si solo fotos si videos mañana paso data porque estoy bajo tormenta lpm corta luz cada rato;                                                   
 uno   cuando cacha   trueno  etc  estaban quinto toque ya estaban red bulls inter  bestia  ;0;uno cuand cach truen etc estab quint toqu ya estab red bulls inter besti;uno cuando cacha trueno etc estaban quinto toque ya estaban red bull inter bestia;uno cuando cacha trueno etc estaban quinto toque ya estaban red bulls inter bestia;                           
que ganas hacer cucharita con wacho con lluvia ;1;que gan hac cucharit con wach con lluvi;que gana hacer cucharita con wacho con lluvia;que ganas hacer cucharita con wacho con lluvia;               
ya sabemos llueve  manga forros ;1;ya sab lluev mang forr;ya sabemo llueve manga forro;ya sabemos llueve manga forros;         
re xxl lluvia ;1;re xxl lluvi;re xxl lluvia;re xxl lluvia;     
venia gimnasio plena tormenta relajada  cruza hombre dice  corre vienen piedras  cai podia ser posible empece correr  ;0;veni gimnasi plen torment relaj cruz hombr dic corr vien piedr cai podi ser posibl empec corr;venia gimnasio plena tormenta relajada cruza hombre dice corre vienen piedra cai podia ser posible empece correr;venia gimnasio plena tormenta relajada cruza hombre dice corre vienen piedras cai podia ser posible empece correr;                                 
por fin lluvia hdp ;1;por fin lluvi hdp;por fin lluvia hdp;por fin lluvia hdp;       
tengo ganas salir bicicletear pero viendo fotos videos piedras lluvia dio miedo  culpa ;0;teng gan sal biciclet per viend fot vide piedr lluvi dio mied culp;tengo gana salir bicicletear pero viendo foto video piedra lluvia dio miedo culpa;tengo ganas salir bicicletear pero viendo fotos videos piedras lluvia dio miedo culpa;                         
dormi lindo che  extrañaba lluvia   ;0;dormi lind che extrañ lluvi;dormi lindo che extrañaba lluvia;dormi lindo che extrañaba lluvia;         
el miedo agarre tormentas noche  \U0001f613 ;0;el mied agarr torment noch \u0001f613;el miedo agarre tormenta noche \u0001f613;el miedo agarre tormentas noche  ;          \U0001f613
vete aqui tormenta  ;1;vet aqui torment;vete aqui tormenta;vete aqui tormenta;     
y llego tan ansiada lluvia  \U0001f600 ;1;y lleg tan ansi lluvi \u0001f600;y llego tan ansiada lluvia \u0001f600;y llego tan ansiada lluvia  ;          \U0001f600
alguien escuchando esos truenos  ;1;algui escuch esos truen;alguien escuchando eso trueno;alguien escuchando esos truenos;       
se ve tormenta fue copada porque tiro arbol;0;se ve torment fue cop porqu tir arbol;se ve tormenta fue copada porque tiro arbol;se ve tormenta fue copada porque tiro arbol;               
a hora ir trabajar  llueve como locos camilo aldao  ;1;a hor ir trabaj lluev com loc camil alda;a hora ir trabajar llueve como loco camilo aldao;a hora ir trabajar llueve como locos camilo aldao;                 
mi viejo cae rayo corta luz ;0;mi viej cae ray cort luz;mi viejo cae rayo corta luz;mi viejo cae rayo corta luz;           
haganse favor salir mirar cielo  belleza  casi no ve lluvia estrellas  pero igual cielo lleno ;0;hagans favor sal mir ciel bellez casi no ve lluvi estrell per igual ciel llen;haganse favor salir mirar cielo belleza casi no ve lluvia estrella pero igual cielo lleno;haganse favor salir mirar cielo belleza casi no ve lluvia estrellas pero igual cielo lleno;                             
los dias lluvia \U0001f60d ;0;los dias lluvi \u0001f60d;lo dia lluvia \u0001f60d;los dias lluvia  ;      \U0001f60d
anoche desperte rayo primero pense fue oigan muchacho escucharon relampago    tengo mente matada ya ;0;anoch despert ray primer pens fue oig muchach escuch relampag teng ment mat ya;anoche desperte rayo primero pense fue oigan muchacho escucharon relampago tengo mente matada ya;anoche desperte rayo primero pense fue oigan muchacho escucharon relampago tengo mente matada ya;                           
se larga lluvia  fijar tweet  ;0;se larg lluvi fij tweet;se larga lluvia fijar tweet;se larga lluvia fijar tweet;         
no lluvia no motiva nada estudiar  solo quiero dormir ;1;no lluvi no motiv nad estudi sol quier dorm;no lluvia no motiva nada estudiar solo quiero dormir;no lluvia no motiva nada estudiar solo quiero dormir;                 
estamos epoca nos chupa huevo otro  donde solo nos importa cagarnos esfuerzo hacen  persona nos chupa huevo como sienta  si total  yo estoy bien  resto    parta rayo ;0;estam epoc nos chup huev otro dond sol nos import cag esfuerz hac person nos chup huev com sient si total yo estoy bien rest part ray;estamo epoca no chupa huevo otro donde solo no importa cagarno esfuerzo hacen persona no chupa huevo como sienta si total yo estoy bien resto parta rayo;estamos epoca nos chupa huevo otro donde solo nos importa cagarnos esfuerzo hacen persona nos chupa huevo como sienta si total yo estoy bien resto parta rayo;                                                     
si llueve ya saben porque  estoy yendo colegio ;0;si lluev ya sab porqu estoy yend colegi;si llueve ya saben porque estoy yendo colegio;si llueve ya saben porque estoy yendo colegio;               
dato lluvia caida gualeguay    ;0;dat lluvi caid gualeguay;dato lluvia caida gualeguay;dato lluvia caida gualeguay;       
 deja lluvia tranquila vamos dormir siesta  \U0001f61d ;1;dej lluvi tranquil vam dorm siest \u0001f61d;deja lluvia tranquila vamo dormir siesta \u0001f61d;deja lluvia tranquila vamos dormir siesta  ;            \U0001f61d
ta desmayarse con lluvia ;1;ta desmay con lluvi;ta desmayarse con lluvia;ta desmayarse con lluvia;       
amo ver como estan canchas con lluvia admirable ver como con tanta lluvia algunos campos estan impecables ;0;amo ver com estan canch con lluvi admir ver com con tant lluvi algun camp estan impec;amo ver como estan cancha con lluvia admirable ver como con tanta lluvia alguno campo estan impecable;amo ver como estan canchas con lluvia admirable ver como con tanta lluvia algunos campos estan impecables;                                 
como no cae rayo cabeza concha madre  ;0;com no cae ray cabez conch madr;como no cae rayo cabeza concha madre;como no cae rayo cabeza concha madre;             
 \U0001f327 imagen satelital mañana  muestra gran frente tormenta abarca sur santa fe  provincia entre rios noreste provincia buenos aires   \u2600 clima despejado resto zonas productoras           ;0;\u0001f327 imag satelital mañan muestr gran frent torment abarc sur sant fe provinci entre rios norest provinci buen air \u2600 clim despej rest zon productor;\u0001f327 imagen satelital mañana muestra gran frente tormenta abarca sur santa fe provincia entre rio noreste provincia bueno aire \u2600 clima despejado resto zona productora;  imagen satelital mañana muestra gran frente tormenta abarca sur santa fe provincia entre rios noreste provincia buenos aires   clima despejado resto zonas productoras;\U0001f327                                     \u2600          
ya veo va largar llover cuando salga casa cuando volviendo  porque lluvia odia \U0001f926 \U0001f3fc ;0;ya veo va larg llov cuand salg cas cuand volv porqu lluvi odi \u0001f926 \u0001f3fc;ya veo va largar llover cuando salga casa cuando volviendo porque lluvia odia \u0001f926 \u0001f3fc;ya veo va largar llover cuando salga casa cuando volviendo porque lluvia odia    ;                          \U0001f926 \U0001f3fc
que ganas estar con vida viendo peliculas mientras escuchando como llueve ;0;que gan estar con vid viend pelicul mientr escuch com lluev;que gana estar con vida viendo pelicula mientra escuchando como llueve;que ganas estar con vida viendo peliculas mientras escuchando como llueve;                     
ay lluvia no quiere parar che  \U0001f649 ;1;ay lluvi no quier par che \u0001f649;ay lluvia no quiere parar che \u0001f649;ay lluvia no quiere parar che  ;            \U0001f649
que lluvia culiada ;0;que lluvi culi;que lluvia culiada;que lluvia culiada;     
un hermoso dia hoy  ay  bello dia hoy  desatar nuestra tormenta va tronar dolor  ;0;un hermos dia hoy ay bell dia hoy desat nuestr torment va tron dolor;un hermoso dia hoy ay bello dia hoy desatar nuestra tormenta va tronar dolor;un hermoso dia hoy ay bello dia hoy desatar nuestra tormenta va tronar dolor;                           
maldigo veredas hechas mierdas momentos lluvia  \U0001f620 \U0001f611 ;0;maldig vered hech mierd moment lluvi \u0001f620 \u0001f611;maldigo vereda hecha mierda momento lluvia \u0001f620 \u0001f611;maldigo veredas hechas mierdas momentos lluvia    ;            \U0001f620 \U0001f611
 estamos brasil  llueve con calor    grados sol mirandote asi  \U0001f31d ;0;estam brasil lluev con calor grad sol mirandot asi \u0001f31d;estamo brasil llueve con calor grado sol mirandote asi \u0001f31d;estamos brasil llueve con calor grados sol mirandote asi  ;                  \U0001f31d
para anduve ahora tengo ganas prenderla fuego tornado ;0;par anduv ahor teng gan prend fueg torn;para anduve ahora tengo gana prenderla fuego tornado;para anduve ahora tengo ganas prenderla fuego tornado;               
  seguro  tormenta electrica    ;0;segur torment electr;seguro tormenta electrica;seguro tormenta electrica;     
lluvia calcada concha madre  \U0001f624 \U0001f62d ;1;lluvi calc conch madr \u0001f624 \u0001f62d;lluvia calcada concha madre \u0001f624 \u0001f62d;lluvia calcada concha madre    ;        \U0001f624 \U0001f62d
pedido solidario afectados lluvias  ;0;ped solidari afect lluvi;pedido solidario afectado lluvia;pedido solidario afectados lluvias;       
 porque rato llega tormenta facha parana   ;0;porqu rat lleg torment fach paran;porque rato llega tormenta facha parana;porque rato llega tormenta facha parana;           
quiero escuchar tormenta abrazada ;0;quier escuch torment abraz;quiero escuchar tormenta abrazada;quiero escuchar tormenta abrazada;       
domingo lluvia bajon  arranque lunes media hora  ya fue todo  ;1;doming lluvi bajon arranqu lun medi hor ya fue tod;domingo lluvia bajon arranque lune media hora ya fue todo;domingo lluvia bajon arranque lunes media hora ya fue todo;                   
si lluvia llega hasta aqui  voy limitarme vivir ;0;si lluvi lleg hast aqui voy limit viv;si lluvia llega hasta aqui voy limitarme vivir;si lluvia llega hasta aqui voy limitarme vivir;               
tremenda tormenta madrugada ahora sol parte tierra  esto san luis ;0;tremend torment madrug ahor sol part tierr esto san luis;tremenda tormenta madrugada ahora sol parte tierra esto san lui;tremenda tormenta madrugada ahora sol parte tierra esto san luis;                   
tendria estar yendo buscar ropa primo pero estoy caminando bajo lluvia   ;1;tendri estar yend busc rop prim per estoy camin baj lluvi;tendria estar yendo buscar ropa primo pero estoy caminando bajo lluvia;tendria estar yendo buscar ropa primo pero estoy caminando bajo lluvia;                     
trueno      fast furious   ;0;truen fast furious;trueno fast furiou;trueno fast furious;     
si puede jugar  hubo ya final con lluvia esa cancha  dudas recuerdo quien fue campeon    final copa libertadores  boca river  conmebol libertadores   estudio futbol    ;0;si pued jug hub ya final con lluvi esa canch dud recuerd qui fue campeon final cop libert boc riv conmebol libert estudi futbol;si puede jugar hubo ya final con lluvia esa cancha duda recuerdo quien fue campeon final copa libertadore boca river conmebol libertadore estudio futbol;si puede jugar hubo ya final con lluvia esa cancha dudas recuerdo quien fue campeon final copa libertadores boca river conmebol libertadores estudio futbol;                                               
si llueve ahora menos espero mañana nublado  no aguanto calor \U0001f612 ;0;si lluev ahor men esper mañan nubl no aguant calor \u0001f612;si llueve ahora meno espero mañana nublado no aguanto calor \u0001f612;si llueve ahora menos espero mañana nublado no aguanto calor  ;                    \U0001f612
   frio \U0001f60a lluvia \U0001f496 azul \U0001f631 celular \U0001f917 solteras \U0001f602   mtvemabiggestfansbts ;0;fri \u0001f60 lluvi \u0001f496 azul \u0001f631 celul \u0001f917 solter \u0001f602 mtvemabiggestfansbts;frio \u0001f60a lluvia \u0001f496 azul \u0001f631 celular \u0001f917 soltera \u0001f602 mtvemabiggestfansbt;frio   lluvia   azul   celular   solteras   mtvemabiggestfansbts;  \U0001f60a   \U0001f496   \U0001f631   \U0001f917   \U0001f602  
aerolineas lluvia  segun san idiota  confirmado   jacques cousteau era campora  ;0;aerolin lluvi segun san idiot confirm jacqu cousteau era campor;aerolinea lluvia segun san idiota confirmado jacque cousteau era campora;aerolineas lluvia segun san idiota confirmado jacques cousteau era campora;                   
queria ir pileta  llueve  empece ver serie  corta luz ;0;queri ir pilet lluev empec ver seri cort luz;queria ir pileta llueve empece ver serie corta luz;queria ir pileta llueve empece ver serie corta luz;                 
  ultimamente lluvia ni tiempo nada larga con todo nomas ;0;ultim lluvi ni tiemp nad larg con tod nom;ultimamente lluvia ni tiempo nada larga con todo noma;ultimamente lluvia ni tiempo nada larga con todo nomas;                 
quiero alguien pasar dias lluvia ;0;quier algui pas dias lluvi;quiero alguien pasar dia lluvia;quiero alguien pasar dias lluvia;         
chica tormenta ;0;chic torment;chica tormenta;chica tormenta;   
lluvia vida amo con todo corazon  gracias mundo ;1;lluvi vid amo con tod corazon graci mund;lluvia vida amo con todo corazon gracia mundo;lluvia vida amo con todo corazon gracias mundo;               
que linda lluvia \U0001f60d ;1;que lind lluvi \u0001f60d;que linda lluvia \u0001f60d;que linda lluvia  ;      \U0001f60d
  encima llueve balde  ;0;encim lluev bald;encima llueve balde;encima llueve balde;     
lo unico voy ver   mañana tormenta viniendo ;0;lo unic voy ver mañan torment vin;lo unico voy ver mañana tormenta viniendo;lo unico voy ver mañana tormenta viniendo;             
de nuevo lloviendo  siempre arruinando mis planes lluvia mierda ;1;de nuev llov siempr arruin mis plan lluvi mierd;de nuevo lloviendo siempre arruinando mi plane lluvia mierda;de nuevo lloviendo siempre arruinando mis planes lluvia mierda;                 
rayos  \U0001f614 ;0;ray \u0001f614;rayo \u0001f614;rayos  ;  \U0001f614
en vida real tengo miedo truenos  asi estoy    ;0;en vid real teng mied truen asi estoy;en vida real tengo miedo trueno asi estoy;en vida real tengo miedo truenos asi estoy;               
le puli rayos todo  bastante turra ;0;le puli ray tod bastant turr;le puli rayo todo bastante turra;le puli rayos todo bastante turra;           
dormir con lluvia \u2665 maravilla ;1;dorm con lluvi \u2665 maravill;dormir con lluvia \u2665 maravilla;dormir con lluvia   maravilla;      \u2665  
llueve gano belgrano   \U0001f914 ;1;lluev gan belgran \u0001f914;llueve gano belgrano \u0001f914;llueve gano belgrano  ;      \U0001f914
como loco si llueve ;1;com loc si lluev;como loco si llueve;como loco si llueve;       
llueve   baradel tigre asamblea suteba  espero tenga salir haciendo perrito rio     encima va tener bañar     \U0001f923 \U0001f923 \U0001f923 ;0;lluev baradel tigr asamble suteb esper teng sal hac perrit rio encim va ten bañ \u0001f923 \u0001f923 \u0001f923;llueve baradel tigre asamblea suteba espero tenga salir haciendo perrito rio encima va tener bañar \u0001f923 \u0001f923 \u0001f923;llueve baradel tigre asamblea suteba espero tenga salir haciendo perrito rio encima va tener bañar      ;                              \U0001f923 \U0001f923 \U0001f923
encima cuando quiero llueva temporada escuela no llueve  alta leche mia \U0001f602 \U0001f494 ;0;encim cuand quier lluev tempor escuel no lluev alta lech mia \u0001f602 \u0001f494;encima cuando quiero llueva temporada escuela no llueve alta leche mia \u0001f602 \u0001f494;encima cuando quiero llueva temporada escuela no llueve alta leche mia    ;                      \U0001f602 \U0001f494
las intensas lluvias generaron creciente casi siete metros rio san antonio agua ingresa con mucha fuerza cauce rios serranos  luego varios dias lluvia afectan region  recomienda acatar ordenes defensa civil  no intentar  \u2026  ;0;las intens lluvi gener crecient casi siet metr rio san antoni agu ingres con much fuerz cauc rios serran lueg vari dias lluvi afect region recomiend acat orden defens civil no intent \u2026;la intensa lluvia generaron creciente casi siete metro rio san antonio agua ingresa con mucha fuerza cauce rio serrano luego vario dia lluvia afectan region recomienda acatar ordene defensa civil no intentar \u2026;las intensas lluvias generaron creciente casi siete metros rio san antonio agua ingresa con mucha fuerza cauce rios serranos luego varios dias lluvia afectan region recomienda acatar ordenes defensa civil no intentar  ;                                                                \u2026
 hermoso dormir bajo lluvia enfermaba ;0;hermos dorm baj lluvi enferm;hermoso dormir bajo lluvia enfermaba;hermoso dormir bajo lluvia enfermaba;         
los truenos estan dando alto miedo caen cerca ;1;los truen estan dand alto mied caen cerc;lo trueno estan dando alto miedo caen cerca;los truenos estan dando alto miedo caen cerca;               
quien necesita chongo con clima  si tengo gato tiene miedo tormenta  entonces acuesta encima  \U0001f495 ;0;qui necesit chong con clim si teng gat tien mied torment entonc acuest encim \u0001f495;quien necesita chongo con clima si tengo gato tiene miedo tormenta entonce acuesta encima \u0001f495;quien necesita chongo con clima si tengo gato tiene miedo tormenta entonces acuesta encima  ;                            \U0001f495
           gracias marina  dia especial  hay truenos lluvia tambien sol todo junto mismo tiempo  hermoso verdad   feliz atardecer noche todos ustedes     ;1;graci marin dia especial hay truen lluvi tambi sol tod junt mism tiemp hermos verd feliz atardec noch tod usted;gracia marina dia especial hay trueno lluvia tambien sol todo junto mismo tiempo hermoso verdad feliz atardecer noche todo ustede;gracias marina dia especial hay truenos lluvia tambien sol todo junto mismo tiempo hermoso verdad feliz atardecer noche todos ustedes;                                       
no dia lluvia si no pisas    baldosas flojas    ;0;no dia lluvi si no pis bald floj;no dia lluvia si no pisa baldosa floja;no dia lluvia si no pisas baldosas flojas;               
 estoy esperando lluvia    ;0;estoy esper lluvi;estoy esperando lluvia;estoy esperando lluvia;     
me dan miedo tormentas mas cuando corta luz    ;0;me dan mied torment mas cuand cort luz;me dan miedo tormenta mas cuando corta luz;me dan miedo tormentas mas cuando corta luz;               
vieron hay familias ponen contentas cuando gana copa equipo futbol  bueno  casa andan asi contentos cuando llueve  ;0;vieron hay famili pon content cuand gan cop equip futbol buen cas andan asi content cuand lluev;vieron hay familia ponen contenta cuando gana copa equipo futbol bueno casa andan asi contento cuando llueve;vieron hay familias ponen contentas cuando gana copa equipo futbol bueno casa andan asi contentos cuando llueve;                                 
imagenes  despues intensas lluvias asi quedaron barrancas diamante      no dice diario      abandono proyecto estabilizacion barrancas  solo ejecuto zona puerto ultramar  ;1;imagen despu intens lluvi asi qued barranc diamant no dic diari abandon proyect estabilizacion barranc sol ejecut zon puert ultram;imagene despue intensa lluvia asi quedaron barranca diamante no dice diario abandono proyecto estabilizacion barranca solo ejecuto zona puerto ultramar;imagenes despues intensas lluvias asi quedaron barrancas diamante no dice diario abandono proyecto estabilizacion barrancas solo ejecuto zona puerto ultramar;                                       
llueve poco ;1;lluev poc;llueve poco;llueve poco;   
verlo agustin anoche llegar mojado despeinado lluvia hizo cayeran babas \U0001f63b ;1;verl agustin anoch lleg moj despein lluvi hiz cayer bab \u0001f63b;verlo agustin anoche llegar mojado despeinado lluvia hizo cayeran baba \u0001f63b;verlo agustin anoche llegar mojado despeinado lluvia hizo cayeran babas  ;                    \U0001f63b
